"Date & Time",Temperature,Humidity,PM1.0,PM2.5,PM10
"2024-01-01 00:19:53.0000",6.62,267.35,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 00:49:47.0000",6.55,267.32,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 01:19:41.0000",6.92,246.92,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 01:49:35.0000",7.03,217.34,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 02:19:30.0000",6.85,191.82,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 02:49:23.0000",6.73,156.23,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 03:19:16.0000",6.76,152.26,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 03:49:09.0000",6.72,169,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 04:19:03.0000",6.7,153.91,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 04:48:55.0000",6.58,170.48,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 05:18:49.0000",6.06,175.74,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 05:48:40.0000",5.89,220.55,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 06:18:33.0000",5.96,221.35,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 06:48:26.0000",5.99,214.01,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 07:18:19.0000",6.13,172.38,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 07:48:13.0000",6.17,139.88,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 08:18:05.0000",5.56,149.47,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 08:47:55.0000",4.96,158.39,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 09:17:49.0000",4.77,157.17,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 09:47:42.0000",5.46,150.34,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 10:17:35.0000",5.77,126.49,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 10:47:30.0000",6.07,114.79,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 11:17:24.0000",6.39,98.16,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 11:47:21.0000",7.47,94.86,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 12:17:16.0000",7.78,90.92,2.32549047470093,8.24454307556152,24.0450401306152
"2024-01-01 12:47:05.0000",6.75,94.39,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 13:16:57.0000",6.23,101.32,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 13:46:49.0000",6.42,105.05,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 14:16:41.0000",6.41,108.01,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 14:46:34.0000",6.17,111.69,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 15:16:26.0000",5.78,116.15,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 15:46:18.0000",5.55,121.29,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 16:16:11.0000",5.41,126.58,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 16:46:03.0000",5.15,131.12,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 17:15:57.0000",4.97,140.06,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 17:45:50.0000",4.67,154.68,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 18:15:43.0000",4.67,166.91,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 18:45:37.0000",4.75,174.98,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 19:15:29.0000",4.83,185.93,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 19:45:23.0000",4.89,199.73,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 20:15:17.0000",5.06,210.37,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 20:45:12.0000",5.32,216.55,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 21:15:04.0000",5.63,228.37,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 21:44:57.0000",6.07,242.02,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 22:14:51.0000",6.63,259.65,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 22:44:44.0000",6.88,267.49,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 23:14:38.0000",7.07,267.58,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
"2024-01-01 23:44:30.0000",7.15,267.62,-1.40986488597765e31,-1.40986488597765e31,-1.40986488597765e31
